0.00101,0.014,0.04,0.128,0.228,0.202,0.212,0.144,0.032
0.00201,0.006,0.034,0.142,0.21,0.248,0.242,0.092,0.026
0.00301,0.004,0.044,0.108,0.208,0.256,0.236,0.114,0.03
0.00401,0.004,0.034,0.11,0.226,0.23,0.258,0.118,0.02
0.00501,0.006,0.034,0.096,0.23,0.262,0.22,0.11,0.042
0.00601,0.006,0.036,0.082,0.214,0.298,0.208,0.122,0.034
0.00701,0.008,0.034,0.134,0.228,0.27,0.186,0.106,0.034
0.00801,0.006,0.02,0.11,0.216,0.324,0.188,0.092,0.044
0.00901,0.004,0.042,0.1,0.206,0.272,0.236,0.096,0.044
0.01001,0.004,0.046,0.088,0.224,0.284,0.204,0.112,0.038
0.01101,0.0,0.028,0.12,0.208,0.294,0.208,0.104,0.038
0.01201,0.006,0.044,0.102,0.228,0.29,0.196,0.102,0.032
0.01301,0.004,0.022,0.122,0.22,0.258,0.208,0.122,0.044
0.01401,0.002,0.034,0.106,0.218,0.266,0.248,0.094,0.032
0.01501,0.006,0.036,0.122,0.22,0.242,0.216,0.112,0.046
0.01601,0.002,0.036,0.122,0.208,0.264,0.224,0.114,0.03
0.01701,0.004,0.022,0.106,0.22,0.26,0.228,0.126,0.034
0.01801,0.004,0.046,0.116,0.198,0.272,0.214,0.118,0.032
0.01901,0.006,0.026,0.108,0.208,0.264,0.232,0.118,0.038
0.02001,0.002,0.022,0.132,0.23,0.276,0.204,0.104,0.03
0.02101,0.002,0.024,0.114,0.234,0.268,0.208,0.118,0.032
0.02201,0.002,0.026,0.12,0.24,0.262,0.186,0.138,0.026
0.02301,0.004,0.024,0.114,0.218,0.254,0.238,0.128,0.02
0.02401,0.0,0.044,0.102,0.2,0.272,0.236,0.104,0.042
0.02501,0.004,0.048,0.094,0.214,0.26,0.228,0.118,0.034
0.02601,0.0,0.038,0.11,0.226,0.234,0.248,0.126,0.018
0.02701,0.004,0.04,0.124,0.23,0.258,0.196,0.114,0.034
0.02801,0.002,0.022,0.122,0.206,0.276,0.236,0.112,0.024
0.02901,0.006,0.032,0.1,0.218,0.274,0.224,0.106,0.04
0.03001,0.008,0.034,0.122,0.216,0.298,0.188,0.1,0.034
0.03101,0.006,0.032,0.106,0.218,0.26,0.232,0.114,0.032
0.03201,0.0,0.038,0.09,0.218,0.254,0.238,0.112,0.05
0.03301,0.002,0.038,0.092,0.192,0.264,0.232,0.14,0.04
0.03401,0.008,0.042,0.134,0.202,0.242,0.222,0.114,0.036
0.03501,0.006,0.036,0.102,0.25,0.27,0.2,0.112,0.024
0.03601,0.002,0.042,0.108,0.2,0.26,0.238,0.11,0.04
0.03701,0.002,0.016,0.138,0.224,0.26,0.208,0.098,0.054
0.03801,0.008,0.028,0.128,0.228,0.266,0.194,0.114,0.034
0.03901,0.002,0.05,0.096,0.212,0.286,0.232,0.092,0.03
0.04001,0.004,0.032,0.118,0.232,0.268,0.216,0.098,0.032
0.04101,0.004,0.028,0.088,0.246,0.282,0.198,0.126,0.028
0.04201,0.008,0.04,0.106,0.21,0.268,0.208,0.122,0.038
0.04301,0.004,0.032,0.114,0.208,0.296,0.214,0.098,0.034
0.04401,0.002,0.022,0.11,0.216,0.234,0.24,0.116,0.06
0.04501,0.004,0.034,0.098,0.216,0.28,0.218,0.116,0.034
0.04601,0.002,0.026,0.098,0.214,0.282,0.238,0.104,0.036
0.04701,0.004,0.052,0.124,0.234,0.248,0.216,0.104,0.018
0.04801,0.004,0.032,0.126,0.208,0.252,0.242,0.106,0.03
0.04901,0.008,0.04,0.14,0.184,0.278,0.192,0.118,0.04
0.05001,0.006,0.036,0.078,0.212,0.276,0.24,0.116,0.036
0.05101,0.004,0.032,0.102,0.236,0.26,0.21,0.124,0.032
0.05201,0.002,0.042,0.128,0.224,0.244,0.246,0.092,0.022
0.05301,0.002,0.026,0.116,0.22,0.284,0.23,0.09,0.032
0.05401,0.006,0.022,0.096,0.246,0.3,0.206,0.08,0.044
